book_id,authors,original_publication_year,original_title,language_code
0,Suzanne Collins,2008.0,The Hunger Games,eng
1,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,eng
2,Stephenie Meyer,2005.0,Twilight,en-US
3,Harper Lee,1960.0,To Kill a Mockingbird,eng
4,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng
5,John Green,2012.0,The Fault in Our Stars,eng
6,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,en-US
7,J.D. Salinger,1951.0,The Catcher in the Rye,eng
8,Dan Brown,2000.0,Angels & Demons ,en-CA
9,Jane Austen,1813.0,Pride and Prejudice,eng
10,Khaled Hosseini,2003.0,The Kite Runner ,eng
11,Veronica Roth,2011.0,Divergent,eng
12,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,eng
13,George Orwell,1945.0,Animal Farm: A Fairy Story,eng
14,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng
15,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,eng
16,Suzanne Collins,2009.0,Catching Fire,eng
17,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,eng
18,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,eng
19,Suzanne Collins,2010.0,Mockingjay,eng
20,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,eng
21,Alice Sebold,2002.0,The Lovely Bones,eng
22,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,eng
23,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,eng
24,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,eng
25,Dan Brown,2003.0,The Da Vinci Code,eng
26,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,eng
27,William Golding,1954.0,Lord of the Flies ,eng
28,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,eng
29,Gillian Flynn,2012.0,Gone Girl,eng
30,Kathryn Stockett,2009.0,The Help,eng
31,John Steinbeck,1937.0,Of Mice and Men ,eng
32,Arthur Golden,1997.0,Memoirs of a Geisha,eng
33,E.L. James,2011.0,Fifty Shades of Grey,eng
34,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,eng
35,Lois Lowry,1993.0,The Giver,eng
36,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe",eng
37,Audrey Niffenegger,2003.0,The Time Traveler's Wife,eng
38,George R.R. Martin,1996.0,A Game of Thrones,eng
39,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng
40,Rick Riordan,2005.0,The Lightning Thief,eng
41,Louisa May Alcott,1868.0,Little Women,en-US
42,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,eng
43,Nicholas Sparks,1996.0,The Notebook,eng
44,Yann Martel,2001.0,Life of Pi,
45,Sara Gruen,2006.0,Water for Elephants,eng
46,Markus Zusak,2005.0,The Book Thief,eng
47,Ray Bradbury,1953.0,Fahrenheit 451,spa
48,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",eng
49,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng
50,Cassandra Clare,2007.0,City of Bones,eng
51,Stephenie Meyer,2007.0,Eclipse,en-US
52,Christopher Paolini,2002.0,Eragon,en-US
53,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,en-US
54,Aldous Huxley,1932.0,Brave New World,eng
55,Stephenie Meyer,2008.0,Breaking Dawn,en-US
56,Sue Monk Kidd,2001.0,The Secret Life of Bees,en-US
57,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,eng
58,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,eng
59,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,eng
60,Paula Hawkins,2015.0,The Girl on the Train,eng
61,Philip Pullman,1995.0,Northern Lights,eng
62,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,eng
63,Jodi Picoult,2004.0,My Sister's Keeper,eng
64,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng
65,Margaret Mitchell,1936.0,Gone with the Wind,eng
66,Khaled Hosseini,2007.0,A Thousand Splendid Suns,eng
67,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,eng
68,Veronica Roth,2012.0,Insurgent,eng
69,Orson Scott Card,1985.0,Ender's Game,eng
